nom_arrond,no_arrond,artiste,annee
Rosemont-La Petite-Patrie,3,Mateo (Mathieu Bories),2015
Le Sud-Ouest,8,Artducommun,2016
Le Sud-Ouest,8,Artducommun,2016
Le Sud-Ouest,8,Artducommun,2016
Le Plateau-Mont-Royal,5,"A'Shop (Bryan Beyung, Ankh One, Monk.E)",2016
Verdun,16,"A'Shop (Zek-One, Monk.E et les élèves)",2016
Mercier-Hochelaga-Maisonneuve,4,"A'Shop (Fluke, Ankh One)",2016
Mercier-Hochelaga-Maisonneuve,4,"Atelier Nayan, Nelson Béguin et citoyenNes",2016
Lachine,24,Artducommun,2016
Ville-Marie,6,Gene Pendon et Les Hommes de lettres,2016
Ville-Marie,6,Kevin Ledo,2016
Ville-Marie,6,Phillip Adams,2016
Ville-Marie,6,Melissa del Pinto,2016
Côte-des-Neiges-Notre-Dame-de-Grâce,7,"A'Shop (Zek-One, Fleo, Fonki, Miss Teri, Rouks, Five 8, Shadow, Ankh One, Monk.E, Strike, Flying Eric, Astro)",2016
Ville-Marie,6,A'Shop (Dodo Ose) ,2016
Ville-Marie,6,A'Shop (Rouks),2016
Ville-Marie,6,A'Shop (Zek One),2016
Rosemont-La Petite-Patrie,3,"A'Shop (123Klan, Ankh One, Dodo Ose, Esprit, Osti one, Fluke, Monk.E, Zek, Benny Wliding, Dre, Five8, Axe, Snikr, Lorem Ipsum)",2016
Mercier-Hochelaga-Maisonneuve,4,Laurent Gascon,2016
Villeray-Saint-Michel-Parc-Extension,2,Cyndie Belhumeur,2016
Mercier-Hochelaga-Maisonneuve,4,A'Shop (Astro),2016
Mercier-Hochelaga-Maisonneuve,4,A'Shop (Fonki),2016
Mercier-Hochelaga-Maisonneuve,4,A'Shop (Dodo Ose),2016
Rosemont-La Petite-Patrie,3,Cyndie Belhumeur,2016
Rosemont-La Petite-Patrie,3,Ella & Pitr,2016
Rosemont-La Petite-Patrie,3,Mateo (Mathieu Bories),2016
Rosemont-La Petite-Patrie,3,Paulie Heart ,2016
Le Plateau-Mont-Royal,5,Stare (Simon Bachand),2016
Le Plateau-Mont-Royal,5,Dominique Desbiens et Bruno Rouyère,2016
Rosemont-La Petite-Patrie,3,Annie Hamel,2016
Rosemont-La Petite-Patrie,3,EL MAC (Miles MacGregor),2016
Le Sud-Ouest,8,Artducommun,2017
Ville-Marie,6,Fluke ,2017
Le Sud-Ouest,8,Monk.E,2017
Mercier-Hochelaga-Maisonneuve,4,Monk.E,2017
Rosemont-La Petite-Patrie,3,Dodo Ose,2017
Mercier-Hochelaga-Maisonneuve,4,Zek,2017
Lachine,24,Artducommun,2017
Ahuntsic-Cartierville,1,Olivier Bonnard,2017
Villeray-Saint-Michel-Parc-Extension,2,Fluke,2017
Verdun,16,A'Shop (Ankh One et Benny Wilding),2017
Verdun,16,Jason Botkin,2017
Ville-Marie,6,Carlos Oliva,2017
Ville-Marie,6,Mateo (Mathieu Bories),2017
Ville-Marie,6,Dominique Desbiens et Bruno Rouyère,2017
Ville-Marie,6,"A'Shop (Benny Wilding, Five 8, Earth Crusher)",2017
Ville-Marie,6,A'Shop (Earth Crusher),2017
Rosemont-La Petite-Patrie,3,Astro,2017
Rosemont-La Petite-Patrie,3,Rémi Fléo,2017
Rosemont-La Petite-Patrie,3,Snikr - Style Over Status,2017
Rosemont-La Petite-Patrie,3,Les Hommes de Lettres,2017
Rosemont-La Petite-Patrie,3,Monk.E,2017
Rosemont-La Petite-Patrie,3,Olivier Bonnard,2017
Rosemont-La Petite-Patrie,3,SBU,2017
Rosemont-La Petite-Patrie,3,NAIMO,2017
Rosemont-La Petite-Patrie,3,Monosourcil,2017
Rosemont-La Petite-Patrie,3,Axe Lalime,2017
Verdun,16,Josée Dubeau,2017
Villeray-Saint-Michel-Parc-Extension,2,Mono Gonzalez,2017
